track_id,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
0BQW5N0eR3GAJtMBwScrl7,235213,17,0.762,0.751,0.387,0.853,0.105,-11.283,0.113,84.025,4,0
5nIAEnPy07UOs72COO9Imt,149052,19,0.244,0.624,0.508,0.872,0.395,-3.748,0.224,95.283,4,0
1v164PYfudygCnpDqhMahV,230117,34,0.166,0.673,0.435,0.0448,0.0467,-14.09,0.0704,85.055,4,0
3f9Mzvd3URfbbIJBX4pz9Z,146826,75,0.239,0.884,0.539,0.0,0.0805,-6.389,0.208,85.008,4,0
6w2WWyBAOXQeP6waVT9s5O,202360,47,0.146,0.533,0.622,0.114,0.118,-5.77,0.072,99.93,4,0
71ySrfAppuaI2p873viZJl,149153,29,0.284,0.64,0.626,0.0,0.178,-8.674,0.216,98.01,4,0
4p8Hbw6wPv0u0w7LFj8n78,154932,51,0.157,0.843,0.406,0.543,0.248,-7.073,0.124,93.026,4,0
54I1dC6Ux5I4h7U44DmjgK,180705,46,0.0876,0.724,0.432,3.22e-05,0.0828,-9.945,0.203,84.992,4,0
1LeWbMBUT2sr141p8sJZro,187562,40,0.463,0.507,0.774,0.00125,0.281,-5.326,0.113,138.117,5,0
7ycZN2o5PMNuTkUg2Q73wN,178742,46,0.0872,0.73,0.555,0.000492,0.143,-7.874,0.106,100.007,4,0
75DQsEq5OU4QkQFOVIFk4C,204896,17,0.837,0.43,0.287,0.0305,0.115,-13.719,0.211,207.585,4,0
0cj7s0kGaVmFPWP898eTbx,202434,42,0.19,0.801,0.664,0.779,0.0697,-9.627,0.0422,114.986,4,0
7xAE36UUNgyDJDIM4yiucY,268087,71,0.214,0.866,0.679,4.8e-06,0.101,-6.74,0.388,115.015,4,0
319xYgRF9JFpGLTtiCDhC7,194594,60,0.0194,0.825,0.738,0.0,0.294,-5.612,0.166,110.906,4,0
3KrVFrFJbPhdjfmc8EmBVa,413000,22,0.0608,0.74,0.703,0.821,0.307,-7.055,0.0807,99.961,4,0
2NxhengOMMBHTiayIlrYB7,284898,18,0.0122,0.648,0.616,0.0269,0.0902,-8.148,0.0341,106.023,4,0
1ePHqUkosKq7ZgQMz655Cw,200940,41,0.69,0.714,0.482,2.01e-05,0.266,-6.884,0.0736,97.044,4,0
0dFdGPVLs3k0z9ezYWZzUa,207840,75,0.0167,0.738,0.75,0.00976,0.174,-3.654,0.219,112.009,4,0
1lFz7QPoxqBdUV4iugS3MX,186436,40,0.14,0.663,0.42,0.0161,0.111,-11.616,0.0455,122.026,4,0
7vBEx9HgiEJDMwougw5bsa,230958,56,0.722,0.447,0.715,0.000145,0.128,-6.616,0.495,98.015,4,0
5qcwzdhDQjHjmu12gOLjY0,310597,53,0.526,0.808,0.657,0.00444,0.075,-6.67,0.298,88.932,4,0
328rLNs6WQPOlFSPpIUy7E,239767,57,0.14,0.871,0.397,0.0196,0.0681,-7.872,0.394,88.167,4,0
6RQ0i7rApnnWSI8uEiGVVF,228990,66,0.136,0.43,0.592,0.0905,0.112,-7.55,0.15,54.585,4,0
