track_id,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
6Nc7K0edFOawc4JByfAoPd,226234,56,0.957,0.164,0.425,0.00665,0.0656,-8.002,0.0538,108.971,4,1
15EPc80XuFrb2LmOzGjuRg,176702,79,0.728,0.133,0.607,0.0,0.0864,-8.417,0.132,129.938,4,1
3YSefJ4OGYCIHNVowuSx7O,171714,54,0.699,0.16,0.487,0.000191,0.0859,-7.747,0.0389,115.769,4,1
7d3efJH6BOKUKUt7fVovn9,339394,31,0.697,0.00823,0.809,0.000288,0.049,-3.771,0.039,128.007,4,1
6oDXwSPWcp7KT2B3funF8y,200869,53,0.654,0.152,0.443,1.02e-05,0.122,-9.301,0.0303,80.508,4,1
25UDXU77NBkHIjJUimRelp,259337,40,0.365,0.0347,0.728,0.0,0.206,-6.306,0.172,151.792,4,1
32vZppk72bhr4KOcGeonox,240957,45,0.643,0.441,0.678,4e-06,0.112,-8.463,0.375,152.376,4,1
0NfxQ1dLKqwT40AhR6zqAY,170217,48,0.668,0.657,0.613,0.00531,0.119,-7.623,0.305,183.859,4,1
1p1nO35bbi4ZlQgjIA4oa4,231533,65,0.179,0.0014,0.912,0.000294,0.582,-3.881,0.0791,182.99,3,1
37KRtNYpPJ2tK6UcT8PGr0,172427,45,0.772,0.691,0.411,0.000171,0.198,-12.3,0.0622,103.022,4,1
3KZE0uFYL5DdReSh3POygX,187302,34,0.797,0.115,0.56,0.0,0.103,-8.841,0.326,95.011,4,1
60Mq4EumvcSXznNugo9Op3,289586,62,0.726,0.584,0.824,1.14e-06,0.113,-5.011,0.345,130.118,4,1
6v9ZXjyI0G6cK60I5y3t7x,259797,43,0.848,0.101,0.395,0.0,0.112,-7.045,0.303,140.017,4,1
1h3ODYcDJly0H53W2Ai42Q,171696,67,0.935,0.378,0.259,0.000463,0.0611,-11.088,0.0517,112.019,4,1
02nhDSWvcXYALyVkth2oXd,181000,71,0.729,0.0202,0.55,1.43e-05,0.387,-5.52,0.234,105.861,4,1
03P20c2fQ6SGnyyvngIdmG,200440,75,0.559,0.0342,0.666,0.0,0.152,-6.582,0.362,145.596,4,1
0J5FGPgIiL0ieCN06CEI4h,237106,47,0.703,0.0589,0.809,0.00471,0.103,-5.484,0.0783,179.998,4,1
0R8P9KfGJCDULmlEoBagcO,273426,76,0.565,0.189,0.546,0.0015,0.17,-7.496,0.0314,139.757,4,1
0zlaa4AmbFE7MVDijsyD9Q,341255,70,0.338,0.00881,0.847,0.00105,0.147,-3.692,0.0458,139.061,4,1
2EJrCsb25XaK6aW1v2PMrR,207705,41,0.831,0.359,0.419,0.00228,0.0959,-7.381,0.44,84.983,4,1
2h7cFKK9c67xRE5oMY3CDd,149811,48,0.789,0.708,0.373,0.0466,0.134,-12.275,0.22,103.995,4,1
3sTN90bIP2cJ1783ctHykO,192160,76,0.625,0.147,0.763,0.0106,0.214,-4.997,0.129,88.753,4,1
48UPSzbZjgc449aqz8bxox,329733,85,0.592,0.0021,0.767,0.00165,0.127,-2.788,0.027,96.483,4,1
4USHZ3omhEBGjHLD9BIJYs,210904,67,0.781,0.344,0.736,0.0,0.125,-5.413,0.29,100.55,4,1
4vHNeBWDQpVCmGbaccrRzi,146390,79,0.739,0.821,0.522,0.00124,0.233,-12.304,0.151,138.263,4,1
